link,updated,country,headquarters,industry,ceo,website,ticker,company_type,revenues,profits,market_value,employee_count,revenues_m,profits_m,assets_m,stockholder_equity_m,profit_margin,profit_as_percent_assets,profit_as_percent_equity
https://fortune.com/company/bayer/,1/29/25,Germany,"Leverkusen, Germany",Chemicals,William N. Anderson,https://www.bayer.com,BAYRY,Public,"$50,677",$-954,"$20,923","94,245","$51,498.4-3.5%","$-3,179.4-172.84%","$128,406-","$36,367-",-6.17%,-2.48%,-8.74%
https://fortune.com/company/beijing-automotive-group/,8/5/24,China,Beijing,Motor Vehicles & Parts,Jiang Deyi,https://www.baicgroup.com.cn,,Private,"$67,852",$328,,"90,000","$67,852.20.9%",$328.110.8%,"$65,757-","$10,334-",0.5%,0.5%,3.2%
https://fortune.com/company/beijing-jianlong-heavy-industry-group/,8/5/24,China,Beijing,Metals,Zhixiang Zhang,https://www.ejianlong.com,,Private,"$34,070",$139,,"57,863","$34,069.63.6%",$138.9-39.4%,"$26,732.8-","$6,652.9-",0.4%,0.5%,2.1%
https://fortune.com/company/berkshire-hathaway/,1/29/25,U.S.,Omaha,Insurance: Property and Casualty,Warren E. Buffett,https://www.berkshirehathaway.com,BRK.A,Public,"$369,893","$106,875","$989,142","396,500","$364,48220.7%","$96,223-","$1,069,978-","$561,273-",26.4%,9%,17.1%
https://fortune.com/company/best-buy/,1/29/25,U.S.,"Richfield, Minn.",Specialty Retailers,Corie S. Barry,https://www.investors.bestbuy.com,BBY,Public,"$42,226","$1,270","$17,790","85,000","$43,452-6.2%","$1,241-12.5%","$14,967-","$3,053-",2.9%,8.3%,40.7%
https://fortune.com/company/bharat-petroleum/,8/5/24,India,Mumbai,Petroleum Refining,Krishnakumar Gopalan,https://www.bharatpetroleum.in,,Public,"$54,413","$3,245","$15,985","8,511","$54,413.1-8%","$3,245.41122.9%","$24,287.9-","$9,075.4-",6%,13.4%,35.8%
https://fortune.com/company/bhp-billiton/,8/5/24,Australia,Melbourne,"Mining, Crude-Oil Production",Mike P. Henry,https://www.bhp.com,BHP,Public,"$53,817","$12,921","$149,960","42,319","$53,817-24.7%","$12,921-58.2%","$101,296-","$44,496-",24%,12.8%,29%
https://fortune.com/company/bmw-group/,1/29/25,Germany,Munich,Motor Vehicles,Oliver Zipse,https://www.bmwgroup.com,BMWYY,Public,"$161,481","$8,870","$50,309","154,950","$168,102.612.07%","$12,205.2-35.32%","$277,104-","$98,957-",7.26%,4.4%,12.33%
https://fortune.com/company/bnp-paribas/,10/23/24,France,Paris,Banks: Commercial and Savings,Jean-Laurent Bonnafé,https://group.bnpparibas,BNPQY,Public,"$136,076","$11,865","$78,501","182,656","$136,076.251.93%","$11,864.610.64%","$2,862,270-","$136,671-",8.72%,0.41%,8.68%
https://fortune.com/company/boeing/,8/5/24,U.S.,"Arlington, Va.",Aerospace & Defense,Kelly K. Ortberg,https://www.boeing.com,BA,Public,"$77,794","$-2,222","$109,953","171,000","$77,79416.8%","$-2,222-","$137,012-","$-17,233-",-2.9%,-1.6%,-
https://fortune.com/company/robert-bosch/,1/29/25,Germany,"Gerlingen-Schillerh?he, Germany",Motor Vehicle Parts,Stefan Hartung,https://www.bosch.com,,Private,"$99,064","$2,272",,"429,416","$99,020.76.74%","$2,271.366.12%","$119,649-","$50,290-",2.29%,1.9%,4.52%
https://fortune.com/company/bouygues/,10/23/24,France,Paris,"Engineering, Construction",Olivier Roussat,https://www.bouygues.com,BOUYY,Public,"$60,600","$1,124","$12,280","201,498","$60,599.929.78%","$1,124.39.86%","$67,093-","$13,704-",1.86%,1.68%,8.2%
https://fortune.com/company/bp/,10/23/24,Britain,London,Petroleum Refining,Murray Auchincloss,https://www.bp.com,BP,Public,"$213,032","$15,239","$81,416","79,400","$213,032-14.41%","$15,239-","$280,294-","$70,283-",7.15%,5.44%,21.68%
https://fortune.com/company/bristol-myers-squibb/,8/5/24,U.S.,United States,Pharmaceuticals,Christopher S. Boerner,https://www.bms.com,BMY,Public,"$45,006","$8,025","$81,388","34,100","$45,006-2.5%","$8,02526.8%","$95,159-","$29,430-",17.8%,8.4%,27.3%
https://fortune.com/company/british-american-tobacco/,10/23/24,Britain,London,Tobacco,Tadeu Marroco,https://www.bat.com,BTI,Public,"$33,907","$-17,855","$78,182","49,839","$33,907.4-0.55%","$-17,855.4-317.26%","$151,308-","$66,997-",-52.66%,-11.8%,-26.65%
https://fortune.com/company/broadcom/,8/5/24,U.S.,San Jose,Semiconductors and Other Electronic Components,Hock E. Tan,https://www.broadcom.com,AVGO,Public,"$35,819","$14,082","$797,940","20,000","$35,8197.9%","$14,08222.5%","$72,861-","$23,988-",39.3%,19.3%,58.7%
https://fortune.com/company/brookfield-asset-management/,8/5/24,Canada,Toronto,Diversified Financials,Bruce Flatt,https://www.brookfield.com,BN,Public,"$95,924","$1,130","$75,795","240,000","$95,9243.4%","$1,130-45%","$490,095-","$45,777-",1.2%,0.2%,2.5%
https://fortune.com/company/bunge/,1/29/25,Switzerland,Geneva,Food Production,Gregory A. Heckman,https://www.bunge.com,BG,Public,"$54,502","$1,151","$11,232","23,000","$59,540-11.4%","$2,24339.3%","$25,372-","$10,851-",3.8%,8.8%,20.7%
https://fortune.com/company/byd/,8/5/24,China,"Shenzhen, China",Motor Vehicles & Parts,Wang Chuanfu,https://www.byd.com,BYDDY,Public,"$85,082","$4,244","$99,647","703,504","$85,08235%","$4,243.571.7%","$95,740.6-","$19,556.8-",5%,4.4%,21.7%
https://fortune.com/company/caixa-economica-federal/,8/5/24,Brazil,"Brasilia, Brazil",Banks: Commercial and Savings,Carlos Ant?nio  Vieira Fernandes,https://www.caixa.gov.br,,Public,"$45,707","$2,350",,"86,962","$45,706.823.3%","$2,349.724.1%","$377,307.8-","$26,023.4-",5.1%,0.6%,9%
https://fortune.com/company/canadian-imperial-bank-of-commerce/,8/5/24,Canada,Toronto,Banks: Commercial and Savings,Victor G. Dodig,https://www.cibc.com,CM,Public,"$41,170","$3,704","$47,053","48,074","$41,169.869%","$3,704.2-23.3%","$703,068.9-","$38,176.3-",9%,0.5%,9.7%
https://fortune.com/company/capital-one-financial/,1/29/25,U.S.,"McLean, Va.",Consumer Credit Card and Related Services,Richard D. Fairbank,https://www.capitalone.com,COF,Public,"$53,938","$4,750","$72,746","51,987","$49,48429%","$4,887-33.6%","$478,464-","$58,089-",9.9%,1%,8.4%
https://fortune.com/company/cardinal-health/,8/5/24,U.S.,"Dublin, Ohio",Wholesalers: Health Care,Jason M. Hollar,https://www.cardinalhealth.com,CAH,Public,"$205,012",$261,"$22,832","47,520","$205,01213%",$261-,"$43,417-","$-2,852-",0.1%,0.6%,-
https://fortune.com/company/carrefour/,10/23/24,France,Massy,Food and Drug Stores,Alexandre Bompard,https://www.carrefour.com,CRRFY,Public,"$91,791","$1,793","$10,847","305,333","$91,790.61.92%","$1,793.526.5%","$62,040-","$12,745-",1.95%,2.89%,14.07%
https://fortune.com/company/caterpillar/,1/29/25,U.S.,"Irving, Texas",Construction and Farm Machinery,D. James Umpleby III,https://www.caterpillar.com,CAT,Public,"$65,664","$10,677","$180,998","113,200","$67,06012.8%","$10,33554.1%","$87,476-","$19,494-",15.4%,11.8%,53%
https://fortune.com/company/amerisourcebergen/,8/5/24,U.S.,"Conshohocken, Pa.",Wholesalers: Health Care,Robert P. Mauch,https://www.cencora.com,COR,Public,"$262,173","$1,745","$43,758","44,000","$262,173.49.9%","$1,745.32.7%","$62,558.8-",$522-,0.7%,2.8%,334.4%
https://fortune.com/company/cenovus-energy/,8/5/24,Canada,Calgary,"Mining, Crude-Oil Production",Jonathan M. McKenzie,https://www.cenovus.com,CVE,Public,"$38,690","$3,045","$38,475","6,925","$38,689.8-24.7%","$3,045.3-38.6%","$40,894.3-","$21,767.3-",7.9%,7.5%,14%
https://fortune.com/company/centene/,1/29/25,U.S.,St. Louis,Health Care: Insurance and Managed Care,Sarah M. London,https://www.centene.com,CNC,Public,"$161,726","$3,067","$31,882","60,700","$153,9996.5%","$2,702124.8%","$84,641-","$25,840-",1.8%,3.2%,10.5%
https://fortune.com/company/centrica/,10/23/24,Britain,Windsor,Utilities,Chris O'Shea,https://www.centrica.com,CPYYY,Public,"$32,882","$4,883","$8,217","21,014","$32,882.112.34%","$4,883-","$27,232-","$4,941-",14.85%,17.93%,98.82%
https://fortune.com/company/cfe/,8/5/24,Mexico,Mexico City,Utilities,Manuel Bartlett D?az,https://www.cfe.mx,,Private,"$36,078","$5,482",,"92,054","$36,077.616.8%","$5,481.6-","$137,339.7-","$43,744.5-",15.2%,4%,12.5%
https://fortune.com/company/charter-communications/,8/5/24,U.S.,"Stamford, Conn.",Telecommunications,Christopher L. Winfrey,https://www.charter.com,CHTR,Public,"$54,607","$4,557","$52,350","101,100","$54,6071.1%","$4,557-9.9%","$147,193-","$11,086-",8.4%,3.1%,41.1%
https://fortune.com/company/chery-holding-group/,8/5/24,China,"Wuhu, China",Motor Vehicles & Parts,Yin  Tongyue,https://www.cheryholding.com/,,Private,"$39,092",$586,,"56,584","$39,091.775.3%",$585.783.3%,"$37,346.7-","$1,674.7-",1.5%,1.6%,35%
https://fortune.com/company/chevron/,10/29/2024,U.S.,"San Ramon, Calif.",Petroleum Refining,Michael K. Wirth,https://www.chevron.com,CVX,Public,"$198,872","$20,296","$276,075","45,600","$200,949-18.4%","$21,369-39.8%","$261,632-","$160,957-",10.6%,8.2%,13.3%
https://fortune.com/company/china-baowu-steel-group/,8/5/24,China,Shanghai,Metals,Hu  Wangming,https://www.baowugroup.com,,Private,"$157,216","$2,494",,"258,697","$157,216.3-2.8%","$2,493.8-","$191,964.1-","$42,086.9-",1.6%,1.3%,5.9%
https://fortune.com/company/china-communications-construction/,8/5/24,China,Beijing,Engineering & Construction,Wang Tongzhou,https://www.ccccltd.cn,,Private,"$136,671","$1,672",,"219,034","$136,670.7-1.2%","$1,672.333.3%","$361,452.7-","$26,509.1-",1.2%,0.5%,6.3%
https://fortune.com/company/china-construction-bank/,8/5/24,China,Beijing,Banks: Commercial and Savings,Zhang  Jinliang,https://www.ccb.com,CICHY,Public,"$199,826","$46,990","$183,128","376,871","$199,826.1-1.4%","$46,990-2.4%","$5,399,535.9-","$443,819.9-",23.5%,0.9%,10.6%
https://fortune.com/company/china-datang/,8/5/24,China,Beijing,Energy,Zou Lei,https://www.china-cdt.com,,Private,"$36,266",$333,,"87,991","$36,266.4-3.6%",$332.983.2%,"$122,382.1-","$13,539.3-",0.9%,0.3%,2.5%
https://fortune.com/company/china-electronics/,8/5/24,China,"Shenzhen, China","Electronics, Electrical Equip.",Zeng Yi,https://www.cec.com.cn,,Private,"$35,391",$27,,"183,469","$35,390.9-12.2%",$26.8-,"$61,089.3-","$10,608.9-",0.1%,-,0.3%
https://fortune.com/company/china-electronics-technology-group/,8/5/24,China,Beijing,Aerospace & Defense,Wang Haibo,https://www.cetc.com.cn,,Private,"$56,084","$2,563",,"241,097","$56,083.80.4%","$2,563-3.8%","$92,803.8-","$34,431.4-",4.6%,2.8%,7.4%
https://fortune.com/company/china-energy-engineering-group/,8/5/24,China,Beijing,Engineering & Construction,Song Hailiang,https://www.ceec.net.cn,,Private,"$57,708",$600,,"119,182","$57,708.15.1%",$60010.2%,"$112,892.8-","$7,469.5-",1%,0.5%,8%
https://fortune.com/company/shenhua-group/,8/5/24,China,Beijing,Energy,Liu Guoyue,https://www.ceic.com,,Private,"$112,049","$6,339",,"309,037","$112,048.7-7.8%","$6,339.111.2%","$294,883.2-","$74,488.8-",5.7%,2.2%,8.5%
https://fortune.com/company/china-faw-group/,8/5/24,China,"Changchun, China",Motor Vehicles & Parts,Qiu Xiandong,https://www.faw.com.cn,,Private,"$89,485","$2,864",,"119,658","$89,4852.1%","$2,864.2-25.5%","$94,499.6-","$36,834.2-",3.2%,3%,7.8%
https://fortune.com/company/china-huadian/,8/5/24,China,Beijing,Utilities,Jiang Yi,https://www.chd.com.cn,,Private,"$45,534","$1,910",,"93,459","$45,534.10.9%","$1,909.587%","$154,660.9-","$17,081.1-",4.2%,1.2%,11.2%
https://fortune.com/company/china-huaneng-group/,8/5/24,China,Beijing,Energy,Wen Shugang,https://www.chng.com.cn,,Private,"$57,891","$1,632",,"124,623","$57,890.8-8.5%","$1,632.145%","$219,905.8-","$21,286-",2.8%,0.7%,7.7%
https://fortune.com/company/china-life-insurance/,8/5/24,China,Beijing,"Insurance: Life, Health (stock)",Bai Tao,https://www.chinalife.com.cn,,Private,"$139,616",$-841,,"176,625","$139,615.9-7.8%",$-841.2-112.3%,"$954,017.3-","$28,349.8-",-0.6%,-0.1%,-3%
https://fortune.com/company/china-merchants-bank/,8/5/24,China,"Shenzhen, China",Banks: Commercial and Savings,Wang Liang,https://www.cmbchina.com,CIHKY,Public,"$71,515","$20,709","$116,575","116,529","$71,514.6-1.1%","$20,708.70.9%","$1,553,788.9-","$151,648.4-",29%,1.3%,13.7%
https://fortune.com/company/china-minmetals/,8/5/24,China,Beijing,Metals,Weng Zuliang,https://www.minmetals.com,,Private,"$132,020",$766,,"175,524","$132,019.7-1.1%",$766-12.6%,"$159,608.7-","$10,078-",0.6%,0.5%,7.6%
https://fortune.com/company/china-minsheng-banking/,8/5/24,China,Beijing,Banks: Commercial and Savings,Gao Yingxin,https://www.cmbc.com.cn,CMAKY,Public,"$43,554","$5,060","$21,394","63,742","$43,553.6-2.3%","$5,060.3-3.5%","$1,081,316-","$87,999.4-",11.6%,0.5%,5.8%
https://fortune.com/company/china-mobile-communications/,8/5/24,China,Beijing,Telecommunications,Yang  Jie,https://www.10086.cn,,Private,"$142,832","$15,253",,"453,394","$142,832.42.3%","$15,253.43.6%","$338,346.6-","$187,928.5-",10.7%,4.5%,8.1%
